model	run_count	mean_generation_time_s	std_generation_time_s	mean_generated_token_count	std_generated_token_count	mean_tokens_per_second	std_tokens_per_second	mean_kv_cache_used_mb	std_kv_cache_used_mb	num_layers	num_kv_heads	head_dim	dtype_bytes	mean_gpu_power_w_avg	std_gpu_power_w_avg	mean_gpu_power_w_dyn_avg	std_gpu_power_w_dyn_avg	mean_gpu_energy_dyn_j	std_gpu_energy_dyn_j	mean_gpu_j_per_token_dyn	std_gpu_j_per_token_dyn	mean_gpu_util_pct_avg	std_gpu_util_pct_avg	mean_cpu_pct_avg	std_cpu_pct_avg	mean_mem_pct_avg	std_mem_pct_avg
llama	10	6.254953594424296	0.004523244949305365	1164.0	0.0	186.09259529638783	0.13457519265066717	155.5	0.0	32	8	128	2	415.26014399999997	3.0176244009971245	343.060344	3.0176244009971245	2145.8209034617344	18.228399915459562	1.8434887486784661	0.01566013738441544	99.808	0.33878213254735384	1.2728	0.260868975200621	3.6424	0.03277939732345444
gemma	10	15.311347401526291	0.0010680151099873025	2908.0	0.0	189.92450086033278	0.013247871144791184	486.9375	0.0	42	2	512	2	302.9180274193548	0.7388226299227453	230.71822741935483	0.7388226299227453	3532.6071984865093	11.40773223033647	1.2147892704561587	0.003922879033815813	98.5209677419355	1.033658604104513	1.229516129032258	0.06733986327430301	4.198548387096774	0.03628494583825238
gpt	10	10.31634312751703	0.001999281175465607	3130.0	0.0	303.40209385345713	0.05879857186996613	152.34375	0.0	24	8	64	2	266.0625119047619	0.9785219677023766	193.86271190476194	0.9785219677023766	1999.9548750033496	10.239263387170197	0.6389632188509105	0.003271330155645424	98.15238095238095	1.1599363150518482	1.2733333333333334	0.0834338018703009	4.184047619047619	0.0460050552065788
qwen	10	21.25812643469544	0.009187606744572585	4096.0	0.0	192.67928905607405	0.08321612455376633	227.171875	0.0	28	4	128	2	414.7260752941176	1.390965582636188	342.5262752941177	1.390965582636188	7281.475855754206	32.108498139516804	1.7777040663462418	0.00783898880359297	99.57882352941176	0.3805659598899886	1.1455294117647061	0.06280156772630124	3.9342352941176473	0.03335155211456581
