model	run_count	mean_generation_time_s	std_generation_time_s	mean_generated_token_count	std_generated_token_count	mean_tokens_per_second	std_tokens_per_second	mean_kv_cache_used_mb	std_kv_cache_used_mb	num_layers	num_kv_heads	head_dim	dtype_bytes	mean_gpu_power_w_avg	std_gpu_power_w_avg	mean_gpu_power_w_dyn_avg	std_gpu_power_w_dyn_avg	mean_gpu_energy_dyn_j	std_gpu_energy_dyn_j	mean_gpu_j_per_token_dyn	std_gpu_j_per_token_dyn	mean_gpu_util_pct_avg	std_gpu_util_pct_avg	mean_cpu_pct_avg	std_cpu_pct_avg	mean_mem_pct_avg	std_mem_pct_avg
llama	10	11.000075264899351	1.3222339763452386	1197.8	70.5247001647886	109.5648029903289	6.829883898713152	159.85	8.815587520598575	32	8	128	2	285.2751374366768	10.118448749844449	213.2757124366768	10.118448749844449	2335.8777390261357	176.47843741847274	1.9491022071312964	0.05939632545169258	92.42827271774448	5.329488523725847	0.8051552946930791	0.07519393972918412	2.6701724137931038	0.04802926894220038
gemma	10	57.60235411350004	2.2428004108057986	2683.1	100.96803674650926	46.58187086730961	0.07945699234948761	224.937890625	8.282534264362088	42	2	256	2	159.2801882535262	0.2578109457387678	87.28076325352617	0.2578109457387678	5027.666109414174	198.7018887476016	1.8737116105197427	0.006395744615874555	78.05114066285117	0.18684842020442596	0.8044233847202596	0.024686617276722844	2.8	0.0
gpt	10	50.07898078750295	0.07263545189573657	4096.0	0.0	81.79095666935216	0.1185163881745722	197.625	0.0	24	8	64	2	262.1291789726368	0.3455573330529838	190.12975397263682	0.3455573330529838	9521.492257921038	15.34608870207364	2.3245830707815034	0.0037466036870296973	93.837907960199	0.28020077893045486	0.7959059701492538	0.0003175967416295337	2.9	0.0
qwen	10	7.9600014931987975	0.23356988995766567	950.1	12.827487846201393	119.41879404247982	2.495056209841276	55.13046875	0.7015032415891387	28	4	128	2	288.687337210847	5.138190506881501	216.68791221084695	5.138190506881501	1724.0548952138856	34.53135085569575	1.8146379575875826	0.029139903811171167	91.75604978354978	2.8760035844026444	0.7749236838430387	0.00043156662366054604	3.1	0.0
