# model vllm_tps transformers_tps vllm_gpu_util transformers_gpu_util vllm_gpu_power transformers_gpu_power
"llama" 74.148696 38.349563 20.858395 16.246602 469.206794 391.377461
"gemma" 29.454842 15.121124 8.668936 10.372499 308.847378 334.415427
"gpt" 44.411594 31.322108 6.148373 16.363545 297.445353 378.359506
