model	run_count	mean_generation_time_s	std_generation_time_s	mean_generated_token_count	std_generated_token_count	mean_tokens_per_second	std_tokens_per_second	mean_kv_cache_used_mb	std_kv_cache_used_mb	num_layers	num_kv_heads	head_dim	dtype_bytes	mean_gpu_power_w_avg	std_gpu_power_w_avg	mean_gpu_util_pct_avg	std_gpu_util_pct_avg	mean_cpu_pct_avg	std_cpu_pct_avg	mean_mem_pct_avg	std_mem_pct_avg
llama	10	12.518265108112246	0.0014887728629759916	1144.0	0.0	91.38646646947092	0.010865359794094592	153.0	0.0	32	8	128	2	512.582678	0.86497945668346	24.6795	0.19928274162885026	1.0726	0.03705911193995048	2.0	0.0
gemma	10	27.28762717731297	0.0029397526038666298	3005.0	0.0	110.1231709105322	0.011864233306526995	502.8515625	0.0	42	2	512	2	456.924680733945	0.5051124117557972	24.896559633027522	0.0777748802738298	1.0803669724770644	0.03667481475399242	2.1810091743119266	0.040106774229942514
gpt	10	15.271232580859214	0.0007381780089731773	3414.0	0.0	223.55759360633573	0.010806724322873863	165.65625	0.0	24	8	64	2	454.174268852459	0.8062431011060788	24.78360655737705	0.13900634049639407	1.0757377049180328	0.03656550343814957	2.1	0.0
