# model vllm_graphs_tps vllm_eager_tps transformers_tps vllm_graphs_gpu_util vllm_eager_gpu_util transformers_gpu_util vllm_graphs_gpu_power vllm_eager_gpu_power transformers_gpu_power
"llama" 92.806641 75.173726 39.226877 98.526000 82.683607 10.869307 253.533570 207.650525 27.203490
"gemma" 110.088808 29.819811 15.955440 99.290678 35.477144 0.000000 199.566811 51.058725 12.347647
"gpt" 223.270401 45.134362 32.204449 98.786486 25.195203 14.538958 193.898411 41.383119 28.310436
"qwen" 97.117594 84.947817 42.302153 99.070370 90.035307 10.331015 252.849948 225.083401 27.060659
