model	run_count	mean_generation_time_s	std_generation_time_s	mean_generated_token_count	std_generated_token_count	mean_tokens_per_second	std_tokens_per_second	mean_kv_cache_used_mb	std_kv_cache_used_mb	num_layers	num_kv_heads	head_dim	dtype_bytes	mean_gpu_power_w_avg	std_gpu_power_w_avg	mean_gpu_power_w_dyn_avg	std_gpu_power_w_dyn_avg	mean_gpu_energy_dyn_j	std_gpu_energy_dyn_j	mean_gpu_j_per_token_dyn	std_gpu_j_per_token_dyn	mean_gpu_util_pct_avg	std_gpu_util_pct_avg	mean_cpu_pct_avg	std_cpu_pct_avg	mean_mem_pct_avg	std_mem_pct_avg
llama	10	12.326704663783312	0.002700285734012929	1144.0	0.0	92.80664058931715	0.02031982402289302	153.0	0.0	32	8	128	2	319.12077	0.9875819684349195	253.53357	0.9875819684349195	3125.2351195103574	12.666111894566772	2.731848880690872	0.011071776131614346	98.526	0.645397379741952	1.0542	0.021632280405809196	1.9	0.0
gemma	10	29.339949114713818	0.003415571914076113	3230.0	0.0	110.08880849661114	0.012813876526507232	539.765625	0.0	42	2	512	2	265.15401101694914	0.4098135388580952	199.56681101694917	0.4098135388580952	5855.280854992343	12.45718705269336	1.8127804504620257	0.003856714257799792	99.2906779661017	0.3405577830004693	1.0636440677966104	0.014075905815158796	2.1	0.0
gpt	10	18.34546809429303	0.0013376844390687542	4096.0	0.0	223.270401090215	0.016280659912578495	197.625	0.0	24	8	64	2	259.4856108108108	0.5162190014861319	193.89841081081082	0.5162190014861319	3557.156993600069	9.425323892889013	0.8684465316406419	0.0023011044660373567	98.7864864864865	0.6281741086824018	1.0628378378378378	0.023931173800251324	2.1	0.0
qwen	10	13.406428036186844	0.0023941776504713174	1302.0	0.0	97.11759417508273	0.017336430711146746	74.375	0.0	28	4	128	2	318.43714814814814	0.8242083766734389	252.84994814814814	0.8242083766734389	3389.816103803178	11.559638827756318	2.6035453946260967	0.008878370835450376	99.07037037037037	0.6448061990191697	1.1307407407407408	0.14247683827093566	2.0	0.0
