model	run_count	mean_generation_time_s	std_generation_time_s	mean_generated_token_count	std_generated_token_count	mean_tokens_per_second	std_tokens_per_second	mean_kv_cache_used_mb	std_kv_cache_used_mb	num_layers	num_kv_heads	head_dim	dtype_bytes	mean_gpu_power_w_avg	std_gpu_power_w_avg	mean_gpu_util_pct_avg	std_gpu_util_pct_avg	mean_cpu_pct_avg	std_cpu_pct_avg	mean_mem_pct_avg	std_mem_pct_avg
llama	10	67.68581072133966	8.31900088686496	919.0	0.0	13.726294827127631	1.3494729389317721	125.0	0.0	32	8	128	2	16.351146784674512	0.9297656417555493	93.56236668426172	0.38398318239693213	3.9353746911966203	0.2130357195660552	37.44406374501992	0.0497049808669869
gemma	10	189.3033854254987	0.25644825685488326	2794.0	0.0	14.759401246890553	0.020029581962192566	234.03515625	0.0	42	2	256	2	15.171763765373555	0.021991560778971367	86.91908464971075	0.32331681410219604	5.609834173093523	0.05032279637934733	37.9	0.0
gpt	10	1233.276145541668	219.80038792525775	3256.0	579.6550698475776	2.6403796842569527	0.028781869947868584	158.25	27.1713313991052	24	8	64	2	12.078177311906199	0.10732768400641728	53.42107860098933	0.598638162638224	5.559380172047997	0.031208395866743396	55.7	2.2469334198890887e-15
